SITE$,FSVLAFTER,TOTAFTER,MASSaft,RCM,CSIZE
OR,64,140,4.6083,0.223748454,2
OR,64,121,5.0903,0.211716402,2
OR,64,135,5.4615,0.191540785,2
OR,64,126,4.9428,0.272092741,2
OR,64,134,4.9262,0.222118469,2
OR,64,120,5.0758,0.169628433,2
OR,64,124,3.891,0.259547674,2
OR,64,114,4.7779,0.218610687,2
OR,64,130,5.4174,,2
OR,64,123,4.8631,0.215459275,2
OR,64,147,4.7219,0.21986912,2
OR,64,117,4.469,0.250839114,2
OR,64,110,5.988,0.18500334,2
OR,64,150,4.7091,0.272132679,2
OR,64,143,5.486,0.161520233,2
OR,64,140,5.3712,0.221663688,2
OR,64,145,4.5877,0.265557905,2
OR,64,146,4.8165,0.226575314,2
OR,64,142,4.375,0.22352,2
OR,64,138,6.1428,0.173389985,2
OR,64,128,5.2679,0.190170656,2
OR,64,108,6.0967,0.151212951,2
OR,64,127,5.5532,0.192483613,2
OR,64,117,5.5155,0.1789321,2
OR,64,134,5.5098,0.175124324,2
OR,64,137,5.118,0.22866354,2
OR,64,124,5.32,0.233308271,2
OR,64,116,5.0931,0.232255404,2
OR,64,112,5.062,0.230225207,2
OR,64,153,5.3272,0.205586424,2
OR,64,148,6.3934,0.168673945,2
OR,64,109,5.574,0.199874417,2
OR,64,120,5.7502,0.205558068,2
OR,64,119,4.618,0.230337809,2
OR,64,138,5.0984,0.200984623,2
OR,64,105,5.5402,0.205588246,2
OR,64,143,5.0606,0.224597874,3
OR,64,139,4.1191,0.355466,3
OR,64,143,4.1739,0.345911498,3
OR,64,136,4.3757,0.339374272,3
OR,64,120,4.25,0.416258824,3
OR,64,111,4.106,0.323209937,3
OR,64,118,3.92,0.379515306,3
OR,64,123,4.5432,0.350743969,3
OR,64,127,4.6565,0.393600344,3
OR,64,135,4.7878,0.344396174,3
OR,64,122,4.1966,0.370514226,3
OR,64,121,4.9514,0.294886295,3
OR,64,134,5.6178,0.258054755,3
OR,64,131,4.8862,0.303712496,3
OR,64,120,5.7445,0.28045957,3
OR,64,134,5.1164,0.306973653,3
OR,64,126,4.7503,0.339515399,3
OR,64,132,4.8528,0.298940818,3
OR,64,143,4.8051,0.275831929,3
OR,64,120,5.0586,0.256928795,3
OR,64,105,4.9833,0.277647342,3
OR,64,132,5.219,0.261735965,3
OR,64,115,5.03525,0.271783923,3
OR,64,125,4.193,0.407822561,3
OR,64,146,4.51,0.341906874,3
OR,64,122,4.91,0.315641548,3
OR,64,110,5.0713,0.327628024,3
OR,64,148,5.1608,0.318322741,3
OR,64,129,5.0896,0.326489312,3
OR,64,130,5.3055,0.263311658,3
OR,64,137,5.28,0.312064394,3
OR,64,138,5.4136,0.275362051,3
OR,64,127,5.9303,0.245046625,3
OR,64,110,5.4746,0.286413619,3
OR,64,120,6.0724,0.268460576,3
OR,64,145,4.3262,0.413827377,4
OR,64,126,5.3639,0.372993531,4
OR,64,126,,,
OR,64,133,4.635,,
